Package Name,Repository URL,License Name(s),Open source dependency code is embedded within the Twilio code,Open source dependency code was modified
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
,,,FALSE,FALSE
